DoodleDate,Doodle
6/18/2015,Denmark Elections 2015
5/12/2013,Mother's Day 2013
1/9/2012,Luis Coloma's 161st Birthday
1/6/2012,Happy Holidays 2011
5/23/2012,Egyptian Elections 2012
5/1/2011,Mother's Day 2011 - Spain & Portugal
2/9/2012,Doodle 4 Google 2012 - New Zealand Winner
11/3/2011,Oodgeroo Noonuccal's 91st Birthday
5/1/2011,Labour Day 2011
11/3/2011,Panama Independence Day
11/2/2011,Taikan Yokoyama's 143th Birthday
11/2/2011,Day of the Dead 2011
11/3/2011,Andre Malraux's 110th Birthday
5/1/2011,160th Anniversary of the first World's Fair
8/1/2011,Swiss National Day 2011
11/7/2011,Marie Curie's 144th Birthday
11/8/2011,Edmond Halley's 355th Birthday
2/22/2012,Heinrich Rudolf Hertz's 155th Birthday
2/2/2011,"Lunar New Year's Eve 2011 - China, Taiwan, Hong Kong"
5/2/2011,Hurvinek's 85th Birthday
5/2/2011,Canada Elections 2011
8/6/2011,Bolivia Independence Day 2011
8/4/2011,Roberto Burle Marx's 102nd Birthday
11/9/2011,Hideyo Noguchi's 135th Birthday
11/11/2011,Magusto 2011
12/2/2011,UAE National Day
2/2/2011,Vitinho's 25th Anniversary
2/2/2011,Lunar New Year's Eve 2011 - Korea
8/2/2011,Celebrating the Wildebeest Migration by Samuel Githui
12/1/2011,Romanian National Day
2/6/2011,Jan Werich's Birthday
5/5/2011,Children's Day 2011 - Multiple Countries on Various Dates
8/6/2011,Lucille Ball's 100th Birthday
8/7/2011,Tanabata 2011
9/1/2011,Tarsila do Amaral's 125th Birthday
9/5/2011,Freddie Mercury's 65th Birthday
11/11/2011,Fyodor Dostoevsky's 190th Birthday
12/3/2011,Nino Rota's 100th Birthday
1/26/2012,Doodle 4 Google 2012 - Australia Winner
2/4/2011,Family Day 2010
2/4/2011,Almeida Garrett's Birthday
3/1/2011,Martisor 2011
3/1/2011,St David's Day 2011
5/9/2011,76th Birthday of Roger Hargreaves
8/6/2011,Chinese Valentine's Day 2011
9/1/2011,"First Day of School 2011 - Estonia, Poland, Russia"
12/6/2011,Finland National Day
12/5/2011,Thailand National Day
3/3/2011,Girl's Day (Hinamatsuri) 2011
5/10/2011,Zhang Daqian's 112th Birthday
7/1/2011,Cabotage and Turkish Maritime Festival
9/10/2011,Teachers' Day 2011 - Multiple Countries on Various Days
9/7/2011,Brazil Independence Day 2011
8/15/2011,National Liberation Day of Korea 2011
9/9/2011,Start of Rugby 2011
9/6/2011,Shinichi Hoshi's 85th Birthday
12/12/2011,Kenya Independence Day
12/8/2011,Diego Rivera's 125th Birthday
12/12/2011,Gustave Flaubert's 190th Birthday
12/12/2011,Robert Noyce's 84th Birthday
2/8/2011,Jules Verne's 183rd Birthday
3/6/2011,Ghana's Independence Day 2011
5/10/2011,Israel Independence Day 2011
7/1/2011,Doodle 4 Google 2011 - Poland by Martyna Króliszewska
8/15/2011,India Independence Day 2011
8/9/2011,Singapore National Day 2011
8/10/2011,Ecuador Independence Day 2011
8/15/2011,Tu B'Av 2011
8/14/2011,Pakistan Independence Day 2011
11/11/2011,Poland Independence Day
11/11/2011,Veterans Day 2011
11/12/2011,Hua Luogeng's 101st Birthday
2/11/2011,Thomas Edison's Birthday
7/4/2011,4th of July 2011
7/5/2011,Venezuela Independence Day 2011
7/7/2011,Miroslav Krleza's 118th Birthday
8/17/2011,Indonesia Independence Day 2011
9/15/2011,Ismail Yasin's 96th Birthday
9/15/2011,Honduras Independence Day 2011
8/17/2011,Pierre de Fermat's 410th Birthday
11/17/2011,Lola Mora's 145th Birthday
12/18/2011,Christoffer Polhem's 350th Birthday
12/16/2011,Bahrain National Day
12/18/2011,Yury Nikulin's 90th Birthday
11/14/2011,Doodle 4 Google 2011 - India Winner
3/6/2011,Will Eisner's 94th Birthday
5/11/2011,Martha Graham's 117th Birthday
7/1/2011,Dorothea MacKellar's 126th Birthday
7/2/2011,Pedro Paulet's 137th Birthday
7/8/2011,Jean de la Fontaine's 390th Birthday
9/12/2011,Korean Thanksgiving 2011
9/12/2011,Moon Festival / Mid-Autumn Festival 2011
11/17/2011,Giò Pomodoro's 81st Birthday
11/18/2011,Latvian Independence Day
11/18/2011,Morocco Independence Day
12/17/2011,Josef Lada's 124th Birthday
12/15/2011,Friedensreich Hundertwasser's 83rd Birthday
12/16/2011,Kazakhstan Independence Day 2011
5/15/2011,120th Birthday of Mikhail Bulgakov
7/9/2011,Argentina Independence Day 2011
8/24/2011,112th Birthday of Jorge Luis Borges
8/23/2011,Nazik Al Malaika's Birthday
8/23/2011,Alois Jirásek's 160th Birthday
9/15/2011,Nicaragua Independence Day 2011
9/15/2011,Doodle 4 Google 2011 - Nordics by Hilde Lorentzen
11/23/2011,60th Anniversary of Stanislaw Lem's First Publication
11/18/2011,Louis Daguerre's 224th Birthday
12/19/2011,110th Anniversary of the Uganda Railway's Completion
2/12/2011,Naomi Uemura's 70th Birthday
3/7/2011,Sendung mit der Maus 40th Anniversary
5/19/2011,Nellie Melba's 150th Birthday
5/15/2011,Paraguay Independence Day 2011
7/13/2011,Sir George Gilbert Scott's 200th Birthday
7/12/2011,450th Anniversary of St. Basil's Cathedral
8/19/2011,George Enescu's 130th Birthday
9/15/2011,El Salvador Independence Day 2011
9/15/2011,Guatemala Independence Day 2011
9/15/2011,Costa Rica Independence Day 2011
11/19/2011,Mikhail Lomonosov's 300th Birthday
11/22/2011,Lebanon Independence Day
12/31/2011,New Year's Eve 2011
2/14/2011,"Happy Valentine's Day from Google & Robert Indiana. Courtesy of the Morgan Art Foundation / ARS, NY"
3/8/2011,Carnival 2011
6/5/2011,Richard Scarry's 92nd Birthday
7/18/2011,Marine Day 2011
8/28/2011,Johann Wolfgang von Goethe's 262nd Birthday
9/17/2011,Anant Pai's 82nd Birthday
3/8/2011,Women's Day 2011
5/20/2011,Doodle 4 Google 2011 - US by Matteo Lopez
6/2/2011,Republic Day Italy 2011
6/2/2011,Father's Day 2011 - Germany
7/14/2011,Bastille Day 2011
8/24/2011,Ukrainian Independence Day 2011
8/25/2011,Uruguay Independence Day 2011
8/27/2011,Faina Ranevskaya's 115th Birthday
9/16/2011,Mexico Independence Day 2011
9/16/2011,Albert Szent-Gyorgyi's 118th Birthday
11/26/2011,New Zealand Elections 2011
11/24/2011,Thanksgiving 2011
3/9/2011,Doodle 4 Google 2011 - Ireland Winner
2/16/2011,Doodle 4 Google 2011 - Brazil Winner
6/12/2011,Turkish Elections 2011
8/31/2011,Malaysia Independence Day 2011
8/31/2011,110th Anniversary of the Lisbon Tram
9/18/2011,201st anniversary of the First Government Assembly in Chile
9/23/2011,Jaroslav Seifert's 110th Birthday
10/1/2011,Grete Waitz's 58th Birthday
11/28/2011,Doodle 4 Google 2011 - Japan Winner
2/15/2011,Ernest Shackleton's Birthday
3/12/2011,Chinese Arbor Day 2011
5/20/2011,Emile Berliner's 160th Birthday
5/20/2011,100th Birthday of Annie M.G. Schmidt
6/6/2011,Dragon Boat Festival 2011
6/12/2011,Russia Day 2011
7/20/2011,Gregor Mendel's 189th Birthday
6/9/2011,Les Paul's 96th Birthday
7/19/2011,Xu Beihong's 116th Birthday
7/20/2011,Colombian Independence Day 2011 by Claudia Rueda
10/1/2011,China National Day 2011
9/23/2011,Saudi Arabia National Day 2011
11/30/2011,Mark Twain's 176th Birthday
11/28/2011,Egyptian Elections 2011
2/16/2011,Miriam Ruth's Birthday. Illustrations inspired by Ora Eyal. Permission courtesy Poalim Publishing Group
4/4/2011,Senegal Independence Day 2011
4/4/2011,100th Birthday of Vaclav Ctvrtek
4/4/2011,Children's Day 2011 - Multiple Countries on Various Days
6/13/2011,Fernando Pessoa's 123rd Birthday
6/15/2011,Doodle 4 Google 2011 - Ghana by Nil Carreras Del Peso
7/23/2011,Amália Rodrigues' 91st Birthday
10/8/2011,Croatia Independence Day 2011
3/13/2011,National Thai Elephant Day 2011
4/3/2011,Anniversary of the Ice Cream Sundae
5/24/2011,"Day of Slavonic Alphabet, Bulgarian Enlightenment and Culture"
6/12/2011,Dia Dos Namorados 2011
7/22/2011,Alexander Calder's 113th Birthday
6/15/2011,Israel Book Fair 2011
9/24/2011,Jim Henson's 75th Birthday
10/9/2011,Hangul Proclamation Day 2011
10/3/2011,German Reunification Day 2011
10/9/2011,Mihajlo Pupin's 153th Birthday
10/9/2011,Uganda Independence Day 2011
10/10/2011,Fridtjof Nansen's 150th Birthday
4/12/2011,50th Anniversary of the First Man in Space
5/25/2011,Jordan Independence Day 2011
4/9/2011,Italy's Culture Week
6/21/2011,First Day of Winter by Takashi Murakami
7/24/2011,100th Anniversary of the rediscovery of Machu Picchu
6/16/2011,Doodle 4 Google 2011 - Ghana Winner (ages 12 -14)
7/26/2011,Muhammad Mahdi Al-Jawahiri's 112th Birthday
9/27/2011,Google's 13th Birthday
9/25/2011,Lu Xun's 130th Birthday
10/12/2011,Art Clokey's 90th Birthday
10/15/2011,Italo Calvino's 88th Birthday
2/17/2011,Lantern Festival 2011
2/17/2011,Guillermo Gonzalez Camarena's Birthday
3/14/2011,Alam Ara's 80th Anniversary
4/13/2011,Songkran Festival 2011
4/10/2011,Peruvian Elections 2011
4/13/2011,240th Birthday of Richard Trevithick
6/15/2011,Total Lunar Eclipse. Live imagery provided by Slooh.
6/15/2011,Doodle 4 Google 2011 - Hungary Winner
10/21/2011,Mary Blair's 100th Birthday
10/20/2011,Park Wan-suh's 80th Birthday
3/15/2011,Hungarian National Day 2011
3/17/2011,Sayed Darwish's Birthday
2/19/2011,Constantin Brancusi's 135th Birthday
4/22/2011,Earth Day 2011
7/27/2011,Enrique Granados' 144th Birthday
9/28/2011,Narciso Monturiol's 192nd Birthday
9/30/2011,Doodle 4 Google 2011 - Italy by Borgo Rosselli Primary School
10/29/2011,Turkish National Day 2011
10/23/2011,Argentina Elections 2011
10/26/2011,Austrian National Day 2011
10/23/2011,Tunisia Elections 2011
2/19/2011,Start of Cricket World Cup 2011
4/16/2011,122nd Birthday of Charlie Chaplin
4/18/2011,129th Birthday of Monteiro Lobato
5/25/2011,Africa Day 2011
6/21/2011,First Day of Summer by Takashi Murakami
6/21/2011,Abdel Halim Hafez's 82nd Birthday
7/28/2011,Peru Independence Day 2011
7/29/2011,Medellin Flower Festival 2011
10/31/2011,Halloween 2011
10/22/2011,Franz Liszt's 200th Birthday
1/6/2011,Khalil Gibran's Birthday
1/2/2011,Vecernícek's 46th Anniversary
2/23/2011,Oslo 2011 Holmenkollen
2/25/2011,Kuwait National Day 2011
3/17/2011,St. Patrick's Day 2011
3/21/2011,Persian New Year 2011
4/23/2011,120th of Birthday of Sergey Prokofiev
5/27/2011,Birthday of Ibn Khaldun
6/24/2011,Festa Junina
1/11/2011,Laba Rice Porridge Festival 2011
1/10/2011,Coming of Age Day 2011
1/1/2011,New Year's Day 2011
2/20/2011,Mihaly Munkacsy's Birthday
2/24/2011,Estonian Independence Day 2011
2/26/2011,100th Birthday of Taro Okamoto
3/17/2011,150th Anniversary of the Italian Unification
3/20/2011,Holi Festival 2011
3/24/2011,Harry Houdini's 137th Birthday
4/23/2011,National Sovereignty and Children's Day 2011 - Turkey
4/25/2011,90th Birthday of Karel Appel
4/26/2011,226th Birthday of John James Audubon
6/30/2011,Czeslaw Milosz's 100th Birthday
7/30/2011,Giorgio Vasari's 500th Birthday
6/26/2011,Women's World Cup Opening
10/31/2011,Parkes Observatory's 50th Anniversary
1/20/2011,Birthday of Takayanagi Kenjiro
1/17/2011,Dr. Martin Luther King Day 2011
1/14/2011,Festival of Kites 2011
2/27/2011,148th Birthday of Joaquin Sorolla
1/20/2011,50th Anniversary of JFK's Inauguration
3/25/2011,400th Birthday of Evliya Çelebi
1/19/2011,Cezanne's 172nd Birthday
2/27/2011,Dominican Republic Independence Day 2011
4/26/2011,Vallenato Festival 2011
4/27/2011,Freedom Day 2011
1/20/2011,New Year of the Trees 2011
4/30/2011,Queen's Day Netherlands 2011
2/28/2011,Li Bai's Birthday
3/31/2011,Robert Bunsen's 200th Birthday
4/29/2011,Royal Wedding
1/21/2011,Grandparents' Day 2011 - Poland
1/25/2011,Tom Jobim's Birthday
1/25/2011,Robert Burns Day
1/26/2011,Australia Day 2011
6/19/2011,Father's Day 2011 - Multiple Countries on Various Days
5/8/2011,Mother's Day 2011 - Multiple Countries on Various Dates
